,2004,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Nahrungsverbrauch,5 788 ,4 641 ,5 277 ,4 815 ,4 690 ,4 712 ,4 771 ,4 662 ,4 999 ,4 603 ,4 757 ,4 957 ,4 666 ,4 564 
   dgl. kg je Kopf," 71,1 "," 57,9 "," 65,7 "," 59,8 "," 58,1 "," 58,0 "," 57,5 "," 57,9 "," 60,4 "," 55,4 "," 57,2 "," 59,6 "," 56,1 "," 54,1 "
