"Crops by unit, crop, area and time"

" "," "," ","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
" "," ","Less than 10.0 hectares",..,..,..,..,..,..,961,592,570,473,444,334,461,..,586,159,341,244,194,146,145,218,223,205,178,201,243,176,221,199,239,288,124,118,175,206,189,150,141,140,141
" "," ","10.0 - 19.9 hectares",..,..,..,..,..,..,1131,768,737,511,583,580,405,..,612,329,271,285,324,325,274,252,297,244,205,219,184,188,183,200,186,197,243,103,159,105,86,139,130,110,112
" "," ","20.0 - 29.9 hectares",..,..,..,..,..,..,619,552,468,433,418,357,246,..,436,186,139,209,177,172,217,192,228,209,135,168,203,105,142,108,69,116,120,50,117,129,105,96,76,113,72
" "," ","30.0 - 49.9 hectares",..,..,..,..,..,..,838,697,603,599,607,492,482,..,456,317,294,294,381,276,163,243,252,251,281,205,200,201,191,222,180,166,182,134,150,136,150,100,131,98,71
" "," ","50.0 - 74.9 hectares",..,..,..,..,..,..,455,393,351,305,371,408,278,..,372,235,247,271,262,260,290,192,228,211,212,182,211,175,160,127,121,169,89,75,108,131,88,104,91,68,97
" "," ","75.0 - 99.9 hectares",..,..,..,..,..,..,199,181,197,201,240,181,194,..,233,160,158,178,153,164,144,156,193,181,114,133,123,135,122,148,78,84,113,105,78,63,87,44,68,51,53
" "," ","100.0 - 199.9 hectares",..,..,..,..,..,..,190,170,186,184,220,232,189,..,286,254,213,287,306,280,356,286,382,381,302,328,325,336,293,277,253,236,290,234,200,180,193,145,138,118,102
" "," ","200.0 hectares and over",..,..,..,..,..,..,25,23,29,31,47,59,40,..,80,67,68,91,105,110,119,120,192,185,218,207,204,212,211,234,225,207,220,198,212,222,221,216,195,140,133
"Hectares"
" ","3.1 Potatoes"
" "," ","Total",34521,30445,31044,30384,30710,29604,33158,33519,39579,43487,53682,46509,38803,42356,43210,39316,35502,37946,38689,38186,37651,36046,41050,40482,37954,41224,42379,38067,38138,40532,41622,40392,42617,41579,43885,47038,48635,53589,62679,55019,57229
" "," ","Less than 10.0 hectares",960,789,616,650,483,534,520,477,332,430,410,247,381,305,331,200,214,223,195,100,263,283,344,233,173,196,293,182,231,401,194,203,150,122,174,207,97,138,156,128,151
" "," ","10.0 - 19.9 hectares",2608,2086,1683,1725,1458,1395,1520,1295,1483,1413,1287,1276,899,897,1031,868,916,674,572,445,552,370,585,454,379,370,357,290,366,310,507,605,250,127,288,307,658,382,310,237,244
" "," ","20.0 - 29.9 hectares",3422,3248,2941,2830,2310,2224,2344,2235,2250,2034,2122,1884,1355,1612,1210,1130,658,1064,570,1033,805,833,625,902,644,459,764,396,449,366,509,438,506,294,486,528,350,528,391,517,165
" "," ","30.0 - 49.9 hectares",7749,6611,6896,6441,6183,5843,6651,6060,6177,6270,7942,5741,4883,3982,4267,4128,3299,3039,2552,2679,2599,1778,1959,1887,1748,1489,1955,1458,1411,710,2121,1451,1633,1297,1225,995,774,705,1149,672,605
" "," ","50.0 - 74.9 hectares",7883,6771,7054,6727,6843,6456,7757,7035,7955,8208,9292,8681,6586,6394,6424,5824,4873,5010,4384,4865,3923,3324,2950,3110,1887,2723,3252,2397,2150,2155,2460,1829,1641,2234,1372,1989,1603,1483,1897,1648,1555
" "," ","75.0 - 99.9 hectares",4557,4029,4231,4229,4895,4468,4488,5135,6629,7610,8573,6924,6157,6356,6448,5381,3520,5382,5025,4888,3414,3887,3945,4397,3062,2747,2879,2511,2472,2559,2370,2053,2526,1654,1472,1321,1923,2607,2267,1533,2674
" "," ","100.0 - 199.9 hectares",6242,6057,6474,6276,6793,6899,7992,8872,11062,12287,16201,14448,11874,14655,14718,13035,13417,13102,13879,12764,13580,12465,14643,13513,10955,11949,12039,10789,9847,9968,8087,8142,9604,8233,8232,8809,9209,8957,10091,8867,7813
" "," ","200.0 hectares and over",1101,854,1148,1507,1745,1785,1887,2412,3690,5236,7855,7308,6668,8155,8782,8750,8605,9453,11511,11412,12517,13107,16000,15986,19105,21291,20840,20044,21212,24064,25374,25672,26307,27618,30636,32881,34021,38789,46420,41417,44021
" ","3.1.1 Seed potatoes"
" "," ","Total",..,..,..,..,..,..,5171,5590,5885,7603,9494,8369,6467,..,6645,5426,4827,4606,4522,4757,3414,3359,5079,5094,4032,4654,4380,4551,5189,5151,6535,4957,5302,5851,5550,6557,7048,7063,9205,8675,7409
" "," ","Less than 10.0 hectares",..,..,..,..,..,..,37,33,1,53,36,30,75,..,34,29,..,8,..,..,..,44,..,..,5,7,3,26,5,..,..,..,..,..,..,31,..,..,..,..,..
" "," ","10.0 - 19.9 hectares",..,..,..,..,..,..,100,123,94,142,245,183,84,..,61,97,116,38,18,7,..,..,136,19,9,4,19,45,43,..,..,39,44,..,6,90,324,40,64,54,..
" "," ","20.0 - 29.9 hectares",..,..,..,..,..,..,176,261,128,210,139,261,129,..,267,86,19,134,7,107,..,101,81,83,21,28,150,11,73,64,321,21,29,6,21,..,26,28,33,49,9
" "," ","30.0 - 49.9 hectares",..,..,..,..,..,..,862,737,829,803,1024,682,717,..,659,488,650,318,281,204,178,99,136,180,206,222,289,143,147,72,129,100,416,385,126,49,10,64,90,26,32
" "," ","50.0 - 74.9 hectares",..,..,..,..,..,..,1031,1143,1069,1317,1434,1406,1019,..,610,768,532,478,230,304,220,317,194,318,211,274,418,321,250,121,121,203,255,374,136,284,107,28,248,233,310
" "," ","75.0 - 99.9 hectares",..,..,..,..,..,..,729,780,1124,1244,1555,1371,1012,..,1033,708,399,545,714,830,344,371,477,606,354,364,449,317,464,313,133,270,168,178,177,266,96,243,227,263,136
" "," ","100.0 - 199.9 hectares",..,..,..,..,..,..,1834,2093,1922,2291,3107,2733,2033,..,2237,1622,1740,1815,1569,1795,1319,1077,1982,1665,993,1438,1071,1195,1177,1269,1038,996,720,1212,1023,870,1232,1693,1399,1340,1040
" "," ","200.0 hectares and over",..,..,..,..,..,..,401,421,718,1543,1953,1702,1397,..,1745,1628,1371,1270,1703,1506,1336,1326,2072,2222,2232,2318,1980,2492,3031,3288,4749,3326,3669,3695,4061,4966,5253,4967,7141,6708,5847
" ","3.1.2 Potatoes for manufacturing"
" "," ","Total",..,..,..,..,..,..,14842,16914,22694,24951,30703,26003,22553,..,24876,23794,21969,22376,22642,21620,20484,20461,19392,19110,18712,20880,20018,17728,16637,18948,21322,21217,21562,22012,25543,27250,28786,34623,42304,40286,43009
" "," ","Less than 10.0 hectares",..,..,..,..,..,..,33,73,69,70,9,6,33,..,..,40,..,23,..,..,165,50,43,52,..,..,..,..,13,149,..,..,84,..,14,..,..,..,27,20,20
" "," ","10.0 - 19.9 hectares",..,..,..,..,..,..,350,356,515,503,369,534,166,..,214,188,267,234,74,38,113,98,115,83,62,59,69,74,77,40,313,210,..,..,75,..,110,148,59,36,49
" "," ","20.0 - 29.9 hectares",..,..,..,..,..,..,777,814,1171,1063,838,914,672,..,266,711,405,468,262,605,448,364,154,304,354,184,282,201,116,94,48,80,186,152,130,119,118,304,223,259,49
" "," ","30.0 - 49.9 hectares",..,..,..,..,..,..,2825,2931,3344,3098,4781,3222,2737,..,2324,2364,1442,1698,1329,1542,1243,828,758,805,737,643,530,626,537,316,1335,890,623,581,763,624,373,286,559,301,405
" "," ","50.0 - 74.9 hectares",..,..,..,..,..,..,3665,3633,4699,5220,5345,4749,4076,..,3868,3286,2718,2859,2520,2672,1769,1893,1316,1482,719,1406,1826,1000,985,1117,1448,865,1111,1431,897,1259,1040,789,1174,1052,717
" "," ","75.0 - 99.9 hectares",..,..,..,..,..,..,2226,2831,3632,4673,5117,3949,3627,..,3802,3544,2275,3112,3216,2947,1954,2320,1826,2299,1945,1361,1331,1112,1029,1272,1503,1120,1253,398,808,718,921,2011,1614,973,2183
" "," ","100.0 - 199.9 hectares",..,..,..,..,..,..,3794,4653,6838,7390,9605,8502,7016,..,8760,7894,9059,7846,8313,7255,7836,7655,7374,6383,5638,5754,6526,4890,4258,4799,4041,4677,5251,4461,5051,5735,5518,5378,6791,6712,5882
" "," ","200.0 hectares and over",..,..,..,..,..,..,1173,1624,2425,2932,4639,4127,4226,..,5642,5767,5803,6136,6922,6558,6956,7252,7805,7701,9226,11456,9454,9820,9621,11160,12634,13374,13053,14965,17804,18769,20705,25704,31858,30933,33704
" ","3.1.3 Potatoes for human consumption"
" "," ","Total",..,..,..,..,..,..,13145,11015,10999,10934,13485,12137,9782,..,11690,10096,8705,10965,11524,11809,13754,12226,16578,16278,15210,15689,17981,15787,16312,16433,13764,14218,15753,13716,12793,13230,12801,11903,11170,6058,6811
" "," ","Less than 10.0 hectares",..,..,..,..,..,..,449,371,261,306,365,211,272,..,296,131,213,192,190,92,98,188,299,181,136,173,290,151,213,252,193,202,66,118,160,176,97,134,124,107,131
" "," ","10.0 - 19.9 hectares",..,..,..,..,..,..,1069,815,874,767,673,558,650,..,757,584,533,402,480,400,438,249,334,352,308,306,269,171,246,246,150,355,206,107,206,191,225,193,187,147,160
" "," ","20.0 - 29.9 hectares",..,..,..,..,..,..,1391,1160,951,761,1145,709,553,..,678,333,234,462,301,322,342,367,390,515,268,248,332,184,261,208,140,337,290,137,336,408,205,197,135,209,107
" "," ","30.0 - 49.9 hectares",..,..,..,..,..,..,2965,2393,2005,2368,2136,1836,1429,..,1285,1275,1207,1022,941,932,1178,851,1065,902,806,623,1135,688,726,322,658,460,594,331,336,322,391,355,501,344,169
" "," ","50.0 - 74.9 hectares",..,..,..,..,..,..,3061,2259,2186,1672,2513,2526,1491,..,1945,1770,1624,1673,1634,1889,1934,1114,1440,1309,957,1043,1009,1076,916,916,892,762,274,429,338,446,456,666,476,363,529
" "," ","75.0 - 99.9 hectares",..,..,..,..,..,..,1534,1524,1873,1693,1901,1604,1518,..,1612,1129,846,1726,1095,1111,1116,1196,1642,1493,763,1022,1099,1082,980,974,734,662,1106,1078,487,336,906,353,426,297,355
" "," ","100.0 - 199.9 hectares",..,..,..,..,..,..,2363,2126,2302,2605,3489,3213,2825,..,3721,3519,2618,3441,3996,3715,4424,3733,5287,5465,4325,4757,4443,4704,4411,3900,3007,2469,3633,2559,2159,2205,2459,1887,1900,815,891
" "," ","200.0 hectares and over",..,..,..,..,..,..,313,368,547,761,1263,1480,1045,..,1395,1355,1431,2048,2887,3348,4225,4529,6123,6062,7646,7517,9405,7732,8560,9615,7991,8972,9585,8958,8771,9146,8062,8119,7421,3776,4470

