"Household average consumption by price unit, group of consumption and"
"time"

" "," ","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Real prices"
" ","01.1.7.4 Potatoes",482,502,486,449,459,361,457,648,690,607,635,690,654,615,581,609,630,649,649,588,633,596,587,595,625,591,603,602,543

"Consumption are included VAT. Uncertainty calculations have been made "
"see: www.dst.dk/forbrug. "

