GENESIS-Tabelle: 41241-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Area under cultivation (field crops and grassland): Germany,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"years (until 2009), types of crops",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop production report: field crops and grassland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area under cultivation (ha),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year,Year
Fodder and industrial cereals,1971266,1994660,2047158,2125338,2071542,2098226,2189917,2133676,2056946,2123944,2097320,2252980,2417857,2336176,2332065,2306642,2452891,2497195,2556598,2664994,2688739,2683069,2680497,2807715,2824732,2976484,2851720,2857061,2923796,2907915,2857794,2869169,2909059,2763507,2674581,2641667,2552305,2408797,2401445,2261105,3223148,3103901,2994888,2826414,2721623,2751090,2920474,3070883,2951798,2905904,2833176,2905765,2789748,2869049,2739069,2663700,2638400,2495713,2557800,2458700
Barley,616550,646162,710090,791664,736373,782306,858711,875908,881545,951120,979897,1119786,1138015,1143666,1153192,1193075,1287963,1308293,1330189,1386519,1475281,1505007,1549137,1671137,1665364,1756210,1735370,1811280,1951221,1988504,2001746,2044027,2020940,2034786,2006035,1949349,1947365,1849820,1835948,1745731,2612519,2535384,2407963,2200764,2069538,2108700,2208408,2273950,2180849,2210353,2067590,2111822,1970335,2074622,1979472,1946800,2025300,1916871,1961700,1877900
Winter barley,127813,138003,169483,176527,64772,142311,134038,180143,201948,238768,263261,309660,251020,307728,319880,337029,357234,401049,436420,420327,462442,523597,567461,626461,677918,688524,794549,884258,1038214,1092830,1182185,1298960,966308,1259835,1337429,1189236,1265877,1221191,1110044,1064117,1699084,1519214,1498866,1463235,1290814,1446606,1413062,1421930,1502405,1369783,1446440,1473031,1360865,1323307,1365332,1344500,1483300,1424052,1418200,1451700
Spring barley,488737,508159,540607,615137,671601,639995,724673,695765,679597,712352,716636,810126,886995,835938,833312,856046,930729,907244,893769,966192,1012839,981410,981676,1044676,987446,1067686,940821,927022,913007,895673,819560,745067,1054632,774950,668606,760115,681489,628629,725903,681612,913434,1016172,909098,737530,778724,662095,795345,852021,678444,840570,621150,638790,609470,751315,614140,602300,542000,492819,543500,426200
Oats,1172283,1144893,1124789,1067744,955191,981261,967640,916734,837555,811603,747577,722695,805433,770198,766358,727128,777483,808199,821216,859875,825067,835683,807563,821459,850790,920150,855499,793084,749422,728337,690890,681636,723201,600580,554985,583935,505615,458790,474407,418656,472721,379678,357508,358639,391857,309194,301888,312388,264143,267754,237020,233324,233148,261927,227829,209900,183700,177831,179500,162600
Mixed grain other than maslin,182433,203605,212279,265930,379978,334659,363566,341034,337846,361221,369846,410499,474409,422312,412515,386439,387445,380703,405193,418600,388391,342379,323797,315119,308578,300124,260851,252697,223153,191075,165158,143506,164919,128141,113561,108382,99325,100188,71277,67472,60755,58679,53923,48499,52111,44589,45954,46731,38260,41338,29091,27122,25799,32704,24377,26200,24800,19974,17800,17200
Triticale,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19813,29247,77154,130159,175493,218513,208118,288608,364224,437814,468546,386458,499475,533497,560466,499796,507391,480800,404600,381036,398800,401100
Grain maize (including corn cob mix),6787,7544,7454,6866,7593,6798,7195,5650,4399,4743,6249,7557,12720,13098,18096,26821,31375,41594,58377,81391,99497,116281,117987,105928,107567,96061,102508,99612,116501,115355,118819,128893,160252,168949,181588,181001,187095,194348,198996,208906,228446,283052,295658,331115,345439,325065,372116,368267,341029,370735,360841,396544,398745,463355,461697,443100,401000,403210,520500,464300
Grain maize,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,194286,208888,239980,249798,230812,277254,265624,251106,273994,272775,305619,309453,369549,370022,343500,301800,307483,415300,359800
Corn cob mix,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,88767,86770,91135,95641,94252,94862,102643,89923,96741,88065,90925,89293,93806,91675,99600,99200,95727,105100,104600
Legumes,91119,74163,62403,57430,54795,46761,44396,38966,36120,34691,29469,34142,42386,42440,43212,38853,41568,42448,39897,36280,30235,29887,22861,25866,32001,28393,22266,15399,14672,12820,11284,10706,13092,12905,16496,34066,69145,111003,95075,72268,121182,58024,56412,86367,95732,123101,148571,184643,225168,212205,185632,218638,207776,206909,177529,168700,143800,109007,84400,83000
Field peas,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,23689,22545,28652,44428,45288,64195,87344,119335,168861,164483,141320,163610,148428,135916,121508,110300,92100,67668,48000,48300
Field beans,22433,18589,17551,16214,16029,13921,14592,13567,12106,12143,9667,12255,16216,18054,19624,21557,24375,26304,25674,25199,19749,19777,14168,17449,21640,16545,13329,6661,6568,4908,4369,4239,6042,5713,7515,14220,27726,53814,60207,47026,38284,24281,17991,22322,30388,25498,21125,25860,26454,23222,17677,20624,18518,20042,15511,15700,15000,12216,11100,12000
Lupins,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45627,35818,38600,32800,25246,19900,19400
All other legumes,68686,55574,44852,41216,38766,32840,29804,25399,24014,22548,19802,21887,26170,24386,23588,17296,17193,16144,14223,11081,10486,10110,8693,8417,10361,11848,8937,8738,8104,7912,6914,6468,7050,7191,8982,19845,41419,57187,34868,25242,59208,11198,9767,19619,20055,33408,40102,39448,29854,24500,26635,34405,40830,5323,4692,4200,3900,3877,5300,3300
Root crops,2034742,2028601,1998725,2007701,2059458,1988245,1987198,1946593,1898226,1872434,1859783,1750021,1758940,1699786,1624849,1502417,1428156,1396630,1344763,1266516,1261156,1207706,1151086,1126501,1111666,1099799,1099283,1049995,963108,847029,814723,831000,789692,742735,741172,731426,699803,671369,656388,652739,1259555,955483,946444,874411,824311,856916,875382,829633,818150,813518,770435,742786,755191,743865,745997,705400,640500,686300,636400,653900
Potatoes,1154811,1130832,1161445,1178183,1204964,1142705,1148615,1132558,1073610,1054125,1041734,976281,963463,925267,851492,782957,732147,706909,659357,588943,596837,553984,503089,480521,467481,415395,415272,399921,355372,275839,258025,245553,238163,224103,219384,220046,209715,205742,199330,200655,548403,341782,360914,312332,293421,315173,335804,303584,297267,308501,304380,282100,284078,287264,295266,276900,274300,274961,259800,263700
Early food potatoes,86519,70914,65167,66711,67746,64256,63629,59536,57960,54181,64065,60756,62204,64485,57118,50170,44696,41436,37262,32935,37031,34081,35668,37415,36325,35799,37362,34173,33926,21156,22591,20202,20802,19095,20106,21878,20224,20579,19332,20461,34832,24739,25311,22395,18885,20657,21074,18065,15853,18312,17750,15952,16689,15922,15958,15300,15000,15864,14500,14200
Intermediate and late potatoes,1068292,1059918,1096278,1111472,1137218,1078449,1084986,1073022,1015650,999944,977669,915525,901259,860782,794374,732787,687451,665473,622095,556008,559806,519903,467421,443106,431156,379596,377910,365748,321446,254683,235434,225351,217362,205009,199278,198169,189490,185163,179997,180193,513572,317042,335602,289938,274537,294516,314730,285519,281414,290189,286630,266148,267389,271342,279309,261600,259300,259097,245300,249500
Food potatoes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,153649,151992,127829,114041,127934,131009,112676,110256,112536,112027,100822,99637,96902,103159,92200,93100,96399,.,.
Industrial potatoes,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,163392,183608,162108,160495,166582,183722,172843,171158,177653,174603,165326,167753,174440,176150,169300,166200,162698,.,.
Sugar beet,193083,222836,222425,223803,254001,261920,269095,258943,283933,287158,293538,260081,290101,300656,327201,298827,293731,294325,290045,295024,302857,314886,331350,352044,369001,425651,440422,423310,402213,393259,395326,444533,417594,392955,405494,403140,390482,375651,378766,383408,608107,554143,533648,521724,499987,512850,515476,503664,503376,489163,452006,447697,459400,445630,440545,420100,357600,402697,369300,383600
Common beet,574389,566877,516227,507364,505499,490593,479284,462229,453454,444003,446438,444453,438939,408881,383937,360662,343179,336478,336685,332657,319505,305100,287205,268261,254632,238880,227013,213889,193128,167598,152093,133843,127508,119795,110586,101990,93941,85165,73353,64302,93122,52801,45860,35208,25339,23020,19812,17339,13698,10574,9331,7889,7419,6059,5418,4700,4500,5085,4100,3600
All other root crops,112459,108056,98628,98351,94994,93027,90204,92863,87229,87148,78073,69206,66437,64982,62219,59971,59099,58918,58676,49892,41957,33736,29442,25675,20552,19873,16576,12875,12395,10333,9279,7071,6426,5881,5709,6249,5664,4811,4940,4375,9922,6758,6023,5147,5564,5873,4289,5046,3809,5279,4718,5101,4293,4913,4768,3700,4100,3558,3200,2900
Industrial crops,103189,106824,80880,59938,51292,57525,62947,71244,76406,67944,69856,73468,81350,77719,83500,86315,82268,82169,94648,103963,116996,129822,144807,146806,149786,130724,130604,139092,153726,157169,168832,187156,222310,262870,286686,298169,343137,471926,437813,485587,915431,1090671,1227464,1189498,1348108,1150869,1050286,1110948,1220880,1495584,1276161,1259717,1394089,1383919,1397009,1461700,1551300,1644337,1471600,1578100
Oleaginous fruit,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,766740,1007532,1156277,1126766,1288494,1091788,989653,1046339,1154714,1431329,1215559,1199470,1337203,1323710,1331711,1392400,1483200,1578624,1404700,1506800
Rape and bird rape,50300,50626,33033,19114,9150,11993,17985,30454,33105,27522,32065,36168,47804,45186,50251,53325,47243,48641,63326,74195,84865,94666,106081,107921,110232,90294,94841,104930,121107,127076,137975,154528,189198,231618,254121,265582,307502,428242,384544,428990,719740,949537,1001369,1006742,1057565,973886,853625,913971,1007225,1198038,1078010,1137962,1296648,1265608,1283357,1343900,1429000,1548177,1370700,1471200
Winter rape,42484,41313,27796,15237,5866,6725,11526,19870,24442,20031,25030,26519,38509,34811,41188,46366,40000,40906,56325,64976,74384,82505,96913,97584,102606,80917,86291,96899,113283,118871,129519,147462,180077,222780,245663,256272,297212,420573,374479,418413,.,932931,921346,946838,950079,932015,777190,858276,958530,1150399,1046216,1115851,1276006,1218052,1267196,1323100,1409900,1538610,1363400,1464400
