GENESIS-Tabelle: 41241-0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Area under cultivation, harvested quantity, yield per",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"hectare (field crops and grassland): Germany, years, types",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
of crops,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crop production report: field crops and grassland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare,Area under cultivation,Harvested quantity,Yield per hectare
,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha,ha,t,dt/ha
Field beans,16500,59700,36.3,20500,87600,42.7,37600,133200,35.4,38800,153700,39.7,46400,188800,40.7,55300,160800,29.1,49200,159500,32.5,58700,235800,40.2,57600,235900,41.0,71100,249500,35.1,60000,186000,31.0
Sweet lupins,17400,31100,17.9,21400,40800,19.0,29600,38300,12.9,28600,50000,17.5,29000,52800,18.2,23400,22300,9.5,21000,25600,12.2,22300,34100,15.3,29000,53400,18.4,31700,53000,16.7,25500,43800,17.2
Soja beans,.,.,.,.,.,.,.,.,.,15800,43200,27.4,19100,65700,34.4,24100,58700,24.4,28900,84100,29.1,33800,90500,26.8,34200,106600,31.2,51500,120500,23.4,44800,122100,27.3
Potatoes,242800,9669700,398.3,244800,11607300,474.2,236700,10370200,438.1,242500,10772100,444.2,250500,11720000,467.9,252200,8920800,353.8,271600,10602200,390.3,273500,11715100,428.3,258300,11312100,437.9,266400,10683400,401.1,262600,10876700,414.3
Sugar beet,357400,22828700,638.8,372500,29748100,798.6,312800,22572000,721.7,334500,25497200,762.3,406700,34059900,837.5,413900,26191400,632.8,408700,29728300,727.4,386000,28618100,741.5,390700,31945400,817.7,396300,28201400,711.7,392000,0,0.0
Rape and bird rape,1465600,5784300,39.5,1394200,6247400,44.8,1285500,5016800,39.0,1325700,4579600,34.5,1308900,4275600,32.7,1228300,3677200,29.9,856800,2830200,33.0,957700,3527300,36.8,1000900,3504600,35.0,1088200,4294900,39.5,1169400,4239200,36.2
Winter rape,1460000,5770800,39.5,1391900,6241700,44.8,1281800,5007600,39.1,1322700,4573700,34.6,1304900,4268400,32.7,1224400,3670600,30.0,852800,2824800,33.1,954400,3522200,36.9,997100,3496600,35.1,1081500,4281200,39.6,1165900,4231300,36.3
"Spring rape, winter and spring bird rape",5600,13400,24.0,2300,5700,24.5,3700,9200,24.8,3000,5900,19.9,4000,7200,18.1,3900,6700,17.3,4000,5400,13.4,3300,5100,15.3,3800,8100,21.4,6700,13800,20.5,3600,7900,22.3
Sunflowers,21900,46100,21.0,20000,46000,23.0,18400,35300,19.2,16700,35700,21.4,18000,39600,21.9,19500,35500,18.2,22500,46000,20.5,28200,58000,20.6,38300,99700,26.1,85600,161200,18.8,68400,165000,24.1
Silage maize/green maize incl. ground ear maize,2003200,78249000,389.7,2092600,99203700,473.3,2100400,87218900,413.6,2137600,92087700,430.8,2095900,99473400,474.6,2195900,77485900,352.9,2222700,86692200,390.0,2299700,97486700,423.9,2219600,104839300,472.3,2028300,73206700,360.9,1978300,81081400,409.9
Cereals for whole-crop harvest,67400,1616500,239.7,88300,2606000,295.1,106600,2810100,263.7,99500,2598300,261.2,97800,2825000,288.7,86600,1987400,229.5,115900,3310400,285.5,125600,3131100,249.2,107700,3276300,304.1,78600,2083800,265.0,57600,1571100,272.7
Roughage,5045500,32861300,65.1,5070900,37325400,73.6,5021200,31984500,63.7,5048500,34926600,69.2,5057700,35011900,69.2,5094400,25299700,49.7,5153200,30029700,58.3,5152900,30866800,59.9,5142800,35425600,68.9,5136600,30506300,59.4,5083400,33366000,65.6
Legumes for whole plant harvest (e.g. clover),273900,1891600,69.1,273800,2134400,77.9,258400,1728100,66.9,261800,2053000,78.4,274500,2299200,83.8,283300,1666800,58.8,306100,2039200,66.6,331300,2343000,70.7,337700,2627500,77.8,345700,2398600,69.4,352100,2542000,72.2
Field grass/grass cultiv.on arable land(incl.mix.),360300,2477100,68.7,347100,2798100,80.6,267800,1994300,74.5,279300,2107600,75.5,275500,2096200,76.1,291400,1473300,50.6,316500,1986200,62.7,316100,2153500,68.1,322800,2571800,79.7,298300,1982600,66.5,281800,2115600,75.1
Meadows (cut grass),1826800,11434800,62.6,1829600,12884800,70.4,1844000,10727100,58.2,1876800,12937900,68.9,1843300,13233900,71.8,1863100,9642200,51.8,1915300,11470400,59.9,1900200,10999900,57.9,1922300,13404400,69.7,1973100,11871400,60.2,1976900,13442900,68.0
"Pastures (incl. mowing pastures, alpine pastures)",2584600,17057900,66.0,2620300,19508100,74.4,2651000,17535000,66.1,2630600,17828100,67.8,2664400,17382600,65.2,2656600,12517400,47.1,2615200,14533900,55.6,2605200,15370400,59.0,2559900,16822000,65.7,2519500,14253800,56.6,2472600,15265400,61.7
__________,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"© Federal Statistical Office, Wiesbaden 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
created: 2024-02-27 / 11:31:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
